Zone,PIB Valeur US $,Céréales - Disponibilité intérieure (Milliers de tonnes),Fruits - Disponibilité intérieure (Milliers de tonnes),Légumes - Disponibilité intérieure (Milliers de tonnes),Poisson - Disponibilité intérieure (Milliers de tonnes),Viande - Disponibilité intérieure (Milliers de tonnes),distance_to_france,region,Femmes,Hommes,Population rurale,Population totale,Population urbaine,Volailles - Disponibilité intérieure (Milliers de tonnes),Volailles - Importations - Quantité (Milliers de tonnes),Volailles - Production (Milliers de tonnes),Blé - Aliments pour animaux (Milliers de tonnes),Blé - Importations - Quantité (Milliers de tonnes),Blé - Production (Milliers de tonnes),Maïs - Aliments pour animaux (Milliers de tonnes),Maïs - Importations - Quantité (Milliers de tonnes),Maïs - Production (Milliers de tonnes)
Nouvelle-Zélande,213434.571358,1840.0,900.0,606.0,703.3,516.0,19179.441076866013,Oceania,2507.303,2451.731,641.441,4959.034,4150.968,223.0,1.0,240.0,298.0,544.0,398.0,315.0,250.0,196.0
Népal,34268.254394,11703.0,1709.0,4534.0,579.76,471.0,7182.535931326031,Asia,15128.288,13704.208,23907.871,28832.496,6034.147,72.0,0.0,63.0,279.0,227.0,2015.0,973.0,414.0,2653.0
Oman,76331.518668,1288.0,845.0,872.0,543.86,240.0,5535.2275606769945,Asia,1678.067,2924.701,728.113,4602.768,4273.762,112.0,115.0,7.0,180.0,815.0,4.0,4.0,340.0,9.0
Ouganda,37718.356702,3941.0,9456.0,1430.0,1066.55,410.0,5781.146752249289,Africa,21707.475,21241.606,34576.219,42949.08,11135.655,69.0,0.0,68.0,1.0,736.0,24.0,138.0,11.0,2760.0
Ouzbékistan,57726.542785,9509.0,3825.0,10603.0,1417.35,1281.0,4904.454751651214,Asia,16481.63,16495.318,16261.493,32976.948,16545.875,90.0,21.0,64.0,1958.0,2787.0,6093.0,276.0,119.0,421.0
Pakistan,253087.564027,36788.0,8745.0,6143.0,4526.39,4051.0,5931.045957504822,Asia,110278.237,113015.042,129085.803,223293.28,75510.639,1353.0,0.0,1523.0,534.0,5.0,24374.0,1619.0,28.0,7883.0
Panama,66787.866841,1346.0,463.0,117.0,449.0,389.0,8785.568603361335,Americas,2114.03,2118.501,1349.902,4232.532,2876.295,241.0,22.0,230.0,0.0,175.0,0.0,494.0,527.0,123.0
Papouasie-Nouvelle-Guinée,24828.833504,646.0,2473.0,568.0,627.52,559.0,14262.803768855947,Oceania,4605.722,4936.763,7448.841,9542.486,1137.684,36.0,30.0,7.0,0.0,286.0,0.0,0.0,1.0,12.0
Paraguay,37906.944206,3614.0,607.0,389.0,312.61,284.0,9856.229591500382,Americas,3249.592,3280.434,2661.61,6530.026,4320.371,72.0,1.0,77.0,230.0,32.0,1358.0,1500.0,16.0,5577.0
Philippines,376823.404772,36841.0,11744.0,7152.0,7147.79,3968.0,11107.1764299305,Asia,54369.671,56011.134,57134.902,110380.804,50971.408,1816.0,306.0,1509.0,1780.0,7422.0,0.0,5120.0,681.0,7979.0
